wave,download_batch,source_type,desk_slug,desk_title,desk_summary,bundle_slug,bundle_title,bundle_url,product_id,entrepedia_title,entrepedia_url,entrepedia_format,download_url,imu_type,imu_category,imu_title,imu_summary,status,staging_hint
3,1,product_series,youtube-ads-desk,YouTube Ads Desk,"Setup, optimize, and scale YouTube campaigns that buy attention profitably.",youtube-ads-desk,YouTube Ads Desk,https://www.entrepedia.co/library/search?q=youtube,11205126-874c-4f5c-8d84-807ddaa7494b,Strategic YouTube Campaign Creator,https://www.entrepedia.co/library/product/11205126-874c-4f5c-8d84-807ddaa7494b,Guide,https://entrepedia-products.com/Mixed%20courses/Strategic%20YouTube%20Campaign%20Creator%20-%20Guide.zip,guide,social-media,Strategic YouTube Campaign Creator,Part of YouTube Ads Desk: Strategic YouTube Campaign Creator.,uploaded,iMU-import\\wave3\\batch-1\\youtube-ads-desk
3,1,product_series,youtube-ads-desk,YouTube Ads Desk,"Setup, optimize, and scale YouTube campaigns that buy attention profitably.",youtube-ads-desk,YouTube Ads Desk,https://www.entrepedia.co/library/search?q=youtube,d92733e4-bb68-4432-a569-fc84d682535d,How to Setup YouTube Campaign,https://www.entrepedia.co/library/product/d92733e4-bb68-4432-a569-fc84d682535d,Guide,https://entrepedia-products.com/Mixed%20courses/How%20to%20Setup%20YouTube%20Campaign%20-%20Checklist.zip,guide,social-media,How to Setup YouTube Campaign,Part of YouTube Ads Desk: How to Setup YouTube Campaign.,uploaded,iMU-import\\wave3\\batch-1\\youtube-ads-desk
3,1,product_series,youtube-ads-desk,YouTube Ads Desk,"Setup, optimize, and scale YouTube campaigns that buy attention profitably.",youtube-ads-desk,YouTube Ads Desk,https://www.entrepedia.co/library/search?q=youtube,2ef126f0-9bea-4093-a6c4-cccf3b9147f5,YouTube Ads Optimization,https://www.entrepedia.co/library/product/2ef126f0-9bea-4093-a6c4-cccf3b9147f5,Guide,https://entrepedia-products.com/Mixed%20courses/YouTube%20Ads%20Optimization%20-%20Prompts.zip,guide,social-media,YouTube Ads Optimization,Part of YouTube Ads Desk: YouTube Ads Optimization.,uploaded,iMU-import\\wave3\\batch-1\\youtube-ads-desk
3,1,product_series,youtube-ads-desk,YouTube Ads Desk,"Setup, optimize, and scale YouTube campaigns that buy attention profitably.",youtube-ads-desk,YouTube Ads Desk,https://www.entrepedia.co/library/search?q=youtube,1e74cee2-681b-4d52-b895-0ba2ddf9aca4,How to Scale with YouTube Ads,https://www.entrepedia.co/library/product/1e74cee2-681b-4d52-b895-0ba2ddf9aca4,Guide,https://entrepedia-products.com/Mixed%20courses/How%20to%20Scale%20with%20YouTube%20Ads%20-%20Book.zip,guide,social-media,How to Scale with YouTube Ads,Part of YouTube Ads Desk: How to Scale with YouTube Ads.,uploaded,iMU-import\\wave3\\batch-1\\youtube-ads-desk
3,1,product_series,youtube-ads-desk,YouTube Ads Desk,"Setup, optimize, and scale YouTube campaigns that buy attention profitably.",youtube-ads-desk,YouTube Ads Desk,https://www.entrepedia.co/library/search?q=youtube,6154605c-45cf-4b46-aed6-2c0e5d3459a1,The 6-Day YouTube Accelerator,https://www.entrepedia.co/library/product/6154605c-45cf-4b46-aed6-2c0e5d3459a1,Mini-Course,https://entrepedia-products.com/Mixed%20courses/The%206-Day%20YouTube%20Accelerator%20-%20Mini-Course.zip,course,social-media,The 6-Day YouTube Accelerator,Part of YouTube Ads Desk: The 6-Day YouTube Accelerator.,uploaded,iMU-import\\wave3\\batch-1\\youtube-ads-desk
3,1,product_series,google-ads-desk,Google Ads Desk,"Search, Performance Max, and local Google growth without burning CAC.",google-ads-desk,Google Ads Desk,https://www.entrepedia.co/library/search?q=google ads,02209e27-1257-4792-a422-d387acf0ca2d,Google Search Ads Unlocked - Guide,https://www.entrepedia.co/library/product/02209e27-1257-4792-a422-d387acf0ca2d,Guide,https://entrepedia-products.com/Mixed%20courses/Google%20Search%20Ads%20Unlocked%20-%20Guide%20%282%29.zip,guide,marketing,Google Search Ads Unlocked - Guide,Part of Google Ads Desk: Google Search Ads Unlocked - Guide.,uploaded,iMU-import\\wave3\\batch-1\\google-ads-desk
3,1,product_series,google-ads-desk,Google Ads Desk,"Search, Performance Max, and local Google growth without burning CAC.",google-ads-desk,Google Ads Desk,https://www.entrepedia.co/library/search?q=google ads,b23798f1-d7da-4b48-bffb-2b197c3d4a32,Google Search Ads Unlocked - Ebook,https://www.entrepedia.co/library/product/b23798f1-d7da-4b48-bffb-2b197c3d4a32,Book,https://entrepedia-products.com/Mixed%20courses/Google%20Search%20Ads%20Unlocked%20-%20Book%20%282%29.zip,book,marketing,Google Search Ads Unlocked - Ebook,Part of Google Ads Desk: Google Search Ads Unlocked - Ebook.,uploaded,iMU-import\\wave3\\batch-1\\google-ads-desk
3,1,product_series,google-ads-desk,Google Ads Desk,"Search, Performance Max, and local Google growth without burning CAC.",google-ads-desk,Google Ads Desk,https://www.entrepedia.co/library/search?q=google ads,0d557898-cf33-41ae-8298-4b6ff76cd5b2,Google Search Ads Unlocked - Checklist,https://www.entrepedia.co/library/product/0d557898-cf33-41ae-8298-4b6ff76cd5b2,Checklist,https://entrepedia-products.com/Mixed%20courses/Google%20Search%20Ads%20Unlocked%20-%20Checklist%20%283%29.zip,guide,marketing,Google Search Ads Unlocked - Checklist,Part of Google Ads Desk: Google Search Ads Unlocked - Checklist.,uploaded,iMU-import\\wave3\\batch-1\\google-ads-desk
3,1,product_series,google-ads-desk,Google Ads Desk,"Search, Performance Max, and local Google growth without burning CAC.",google-ads-desk,Google Ads Desk,https://www.entrepedia.co/library/search?q=google ads,7434d539-9aad-45f6-ba5b-8899d485e0a3,Google Search Ads Unlocked - Toolstack,https://www.entrepedia.co/library/product/7434d539-9aad-45f6-ba5b-8899d485e0a3,Toolstack,https://entrepedia-products.com/Mixed%20courses/Google%20Search%20Ads%20Unlocked%20-%20Toolstack%20%283%29.zip,guide,marketing,Google Search Ads Unlocked - Toolstack,Part of Google Ads Desk: Google Search Ads Unlocked - Toolstack.,uploaded,iMU-import\\wave3\\batch-1\\google-ads-desk
3,1,product_series,google-ads-desk,Google Ads Desk,"Search, Performance Max, and local Google growth without burning CAC.",google-ads-desk,Google Ads Desk,https://www.entrepedia.co/library/search?q=google ads,4d412dff-830c-4907-ab91-9bd137133126,Google Search Ads Unlocked - Workbook,https://www.entrepedia.co/library/product/4d412dff-830c-4907-ab91-9bd137133126,Book,https://entrepedia-products.com/Mixed%20courses/Google%20Search%20Ads%20Unlocked%20-%20Workbook%20%283%29.zip,book,marketing,Google Search Ads Unlocked - Workbook,Part of Google Ads Desk: Google Search Ads Unlocked - Workbook.,uploaded,iMU-import\\wave3\\batch-1\\google-ads-desk
